id;name;description;tip_autovehicule;dealer_id
1;New York tangible Mississippi;Frozen bus;AUTOMOBILE;system Small
2;Intelligent Outdoors;Harbor Montana;TOATE;User-centric
3;Money Market Account;Salad Web virtual;AUTOMOBILE;e-business
4;Ghana back-end National;Direct;MOTOCILCETE;copying
5;ability Hat Iraq;magenta Concrete;AUTOMOBILE;Oklahoma facilitate
6;Engineer;Exclusive Moroccan Dirham card;AUTOMOBILE;Personal Loan Account
7;paradigms Home;Investor Public-key;MOTOCILCETE;Dominican Republic Credit Card Account Handmade
8;Ergonomic transmitter;Point Orchestrator;TOATE;installation
9;Argentine Peso;Kentucky Algerian Dinar Clothing;AUTOMOBILE;Quality
10;synthesize Creative;Forint;AUTOMOBILE;deposit
